met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
591.8833618164062,2,6,4,-271.91693115234375,1036.4996337890625,140.5506591796875,114.42972564697266,208.08651733398438,140.5506591796875,1.3354936838150024,1
818.2581787109375,2,5,3,-207.80836486816406,1487.5919189453125,191.67172241210938,194.3126220703125,191.67172241210938,194.3126220703125,1.671661376953125,1
809.8604736328125,2,8,6,159.93319702148438,1476.4234619140625,167.9296875,84.47139739990234,167.9296875,153.03646850585938,2.549437999725342,1
825.1961059570312,2,7,5,-224.51864624023438,1022.531494140625,193.9698028564453,82.37124633789062,193.9698028564453,159.64393615722656,1.70596444606781,1
1268.69873046875,3,6,3,-173.25404357910156,1800.0108642578125,187.01869201660156,216.1230926513672,187.01869201660156,216.1230926513672,1.3679815530776978,1
584.2518920898438,3,7,4,173.1629638671875,1133.77880859375,84.05767822265625,117.89583587646484,174.9064483642578,161.2948455810547,0.7400422692298889,1
1035.703125,2,4,2,-588.1819458007812,1423.690185546875,145.65676879882812,80.39578247070312,145.65676879882812,257.1664733886719,2.049150228500366,1
891.5861206054688,2,7,5,157.6721649169922,1454.072509765625,120.87053680419922,117.28781127929688,120.87053680419922,117.28781127929688,1.245369791984558,1
464.35040283203125,2,5,3,-548.4468994140625,2015.5474853515625,178.66778564453125,195.45748901367188,178.66778564453125,376.88897705078125,3.1137633323669434,1
825.451171875,2,6,4,-814.54736328125,1285.2564697265625,180.3546905517578,83.7029037475586,336.00164794921875,188.05078125,1.3042972087860107,1
921.2056884765625,3,7,4,108.8847427368164,1172.43701171875,209.6289520263672,84.85813903808594,526.2386474609375,0.0,0.8405537605285645,1
971.7001953125,2,6,4,169.8481903076172,1196.5184326171875,170.19744873046875,95.03343963623047,170.19744873046875,188.2509765625,1.6022727489471436,1
769.0299072265625,2,8,6,-378.2093200683594,1436.6168212890625,171.13539123535156,92.92918395996094,171.13539123535156,205.148193359375,2.391751289367676,1
729.388916015625,2,5,3,-698.89892578125,1216.45556640625,158.41217041015625,184.94232177734375,158.41217041015625,184.94232177734375,1.7150150537490845,1
661.3028564453125,2,5,3,-185.86141967773438,2370.56689453125,233.5330810546875,96.09857940673828,233.5330810546875,96.09857940673828,2.020758628845215,1
446.35186767578125,2,7,5,40.89042282104492,1209.3140869140625,224.65975952148438,152.75025939941406,224.65975952148438,152.75025939941406,1.5731700658798218,1
678.3023071289062,2,5,3,-602.95068359375,1537.9837646484375,340.4551086425781,64.95526885986328,340.4551086425781,64.95526885986328,1.6157392263412476,1
983.9066772460938,2,5,3,124.22781372070312,1566.741943359375,165.33433532714844,194.65219116210938,496.47113037109375,23.94707489013672,1.1493113040924072,1
480.1263732910156,2,5,3,-632.5159301757812,1854.8428955078125,156.92205810546875,199.06109619140625,156.92205810546875,199.06109619140625,2.8393802642822266,1
609.9503784179688,2,7,5,-48.6035270690918,1071.53125,160.75674438476562,69.7105941772461,196.4705810546875,69.7105941772461,1.7179094552993774,1
736.2470703125,2,5,3,-291.4526672363281,1630.7069091796875,186.13465881347656,78.43701171875,186.13465881347656,78.43701171875,2.1784346103668213,1
