met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
540.02294921875,2,5,3,118.4180679321289,1163.5457763671875,143.81680297851562,91.05765533447266,143.81680297851562,91.05765533447266,0.4703156650066376,0
527.54736328125,2,8,6,-190.56712341308594,1163.77490234375,104.1911392211914,81.80393981933594,239.5492401123047,81.80393981933594,0.5868551135063171,0
431.5515441894531,2,6,4,163.6824493408203,575.7406616210938,85.1474838256836,64.44978332519531,153.43109130859375,64.44978332519531,0.7943760752677917,0
814.4216918945312,2,5,3,134.1815185546875,1148.55859375,249.74618530273438,71.29015350341797,249.74618530273438,71.29015350341797,0.6244670748710632,0
427.0792236328125,2,6,4,-106.3215560913086,639.5467529296875,72.02203369140625,63.219078063964844,271.6878356933594,0.0,0.5276766419410706,0
403.5832824707031,2,8,6,164.88247680664062,969.6464233398438,151.1870880126953,69.58842468261719,227.54214477539062,69.58842468261719,1.0939844846725464,0
685.4325561523438,2,5,3,-501.4740905761719,1207.2734375,259.96954345703125,95.05099487304688,259.96954345703125,95.05099487304688,1.4325851202011108,0
752.31640625,2,5,3,-451.81573486328125,1273.40576171875,104.43511199951172,159.3557586669922,451.271728515625,104.43511199951172,0.41606637835502625,0
415.84844970703125,2,7,5,-200.86807250976562,1071.24560546875,64.07249450683594,68.71770477294922,246.34634399414062,68.71770477294922,0.6190229654312134,0
582.5657958984375,2,6,4,-456.38873291015625,1116.70166015625,124.67536163330078,73.43452453613281,124.67536163330078,73.43452453613281,0.42687398195266724,0
1210.170654296875,3,5,2,-86.49470520019531,1714.7730712890625,165.02597045898438,140.81185913085938,298.1121826171875,165.02597045898438,1.332060694694519,0
461.71136474609375,2,7,5,172.80332946777344,2006.265625,174.22682189941406,245.39532470703125,287.9497985839844,245.39532470703125,0.8572102785110474,0
562.7074584960938,2,5,3,-1423.022216796875,3067.89404296875,275.7781066894531,76.12615203857422,275.7781066894531,76.12615203857422,1.1103514432907104,0
490.3751220703125,2,10,8,128.70535278320312,1320.6116943359375,91.58483123779297,67.4018325805664,372.1440124511719,196.12384033203125,1.6730923652648926,0
765.5352783203125,2,8,6,-714.6156005859375,2183.8125,77.47396087646484,70.43217468261719,562.827392578125,112.96904754638672,0.5487096905708313,0
642.8615112304688,2,5,3,-289.46734619140625,1440.69775390625,226.32357788085938,83.40501403808594,226.32357788085938,83.40501403808594,1.5372099876403809,0
1175.6580810546875,2,6,4,173.07383728027344,2302.199951171875,386.3016662597656,130.49868774414062,842.941650390625,12.652202606201172,1.292301893234253,0
